Cercopithecus_mitis.Cercopithecus_mona,Cercopithecus_mona.Chlorocebus_sabaeus,Cercopithecus_mitis.Chlorocebus_sabaeus,chr,ILS,asymmetry
90588,12295,12235,chr1,0.21308570336524263,1.004903964037597
100153,14966,14760,chr2,0.22887456786701468,1.0139566395663957
82940,11626,11687,chr3,0.21941027547457484,0.9947805253700693
78584,11490,11382,chr4,0.22543762813436366,1.0094886663152345
76493,11060,11016,chr5,0.22396493826659497,1.0039941902687002
70036,9208,9268,chr6,0.20874005784526392,0.9935261113508848
53293,8384,8161,chr7,0.23690540966236145,1.027325082710452
60469,8763,8702,chr8,0.22409987938512074,1.0070098827855665
49396,6845,6769,chr9,0.21606094270750675,1.0112276554882553
53450,8185,8051,chr10,0.2329879746290503,1.0166438951683021
51213,7008,7059,chr11,0.21548713235294117,0.9927751806204845
52438,7801,7792,chr12,0.22920433331863416,1.0011550308008215
40282,5625,5844,chr13,0.22161890591486155,0.9625256673511293
34464,4566,4598,chr14,0.210048592646924,0.9930404523705959
31809,4524,4547,chr15,0.22189334637964775,0.9949417198152628
30548,4154,4231,chr16,0.2153699946061182,0.9818009926731269
26976,3854,3868,chr17,0.22254885007781428,0.9963805584281282
32043,4852,4858,chr18,0.23255813953488372,0.9987649238369699
11656,1773,1765,chr19,0.2328550743714624,1.0045325779036827
24425,3478,3419,chr20,0.22019666687950962,1.0172565077508042
13200,2412,2304,chr21,0.2632283991962492,1.046875
11091,1684,1699,chr22,0.2337294459029985,0.9911712772218952
58020,7971,7807,chrX,0.21379983197376623,1.0210067887793006
3143,475,493,chrY,0.23546582340063246,0.9634888438133874
