"Ateles_fusciceps,Saguinus_midas","Ateles_fusciceps,Pithecia_pithecia","Pithecia_pithecia,Saguinus_midas",chr,ILS,asymmetry
31977,22692,22992,chr1,0.5882489280333758,0.9869519832985386
37882,26652,25778,chr2,0.5805430064664718,1.0339048801303437
30061,20752,21103,chr3,0.5819984426275099,0.9833672937497039
25774,18807,18854,chr4,0.5936943327815875,0.9975071602842898
26932,19464,18299,chr5,0.583708169101167,1.0636646811301165
23892,16964,16941,chr6,0.5866221430178037,1.001357653031108
21927,15340,15200,chr7,0.5820801646749385,1.0092105263157896
21753,14971,14300,chr8,0.5736712135465664,1.0469230769230768
17013,11876,11915,chr9,0.5830555827860013,0.9967268149391524
19108,13556,12900,chr10,0.5806338337283821,1.0508527131782945
18840,13172,12645,chr11,0.5781176523277426,1.0416765519968367
17871,13401,13335,chr12,0.5993678122267806,1.004949381327334
14229,9878,9815,chr13,0.5805377041448028,1.0064187468160979
13147,9177,8634,chr14,0.5753278635570773,1.062890896455872
10693,7684,7496,chr15,0.5867120163877401,1.0250800426894344
10998,7693,6912,chr16,0.5704409639495371,1.1129918981481481
9293,6399,6188,chr17,0.575274223034735,1.03409825468649
11159,7898,7649,chr18,0.5821538231109114,1.0325532749379003
3324,2433,2414,chr19,0.5931954473136702,1.007870753935377
9035,6445,6489,chr20,0.5887386772270017,0.993219294190168
4311,3120,3272,chr21,0.5972157339063814,0.9535452322738386
3647,2477,2211,chr22,0.5624475104979004,1.120307553143374
21085,13645,10964,chrX,0.5385608613822384,1.2445275446917183
1012,706,588,chrY,0.5611448395490026,1.2006802721088434
