"Callithrix_jacchus,Saguinus_midas","Aotus_nancymaae,Callithrix_jacchus","Aotus_nancymaae,Saguinus_midas",chr,ILS,asymmetry
80157,697,660,chr1,0.01664744706430797,1.0560606060606061
93487,789,825,chr2,0.016971430374023405,0.9563636363636364
74527,621,564,chr3,0.015651415891800507,1.101063829787234
67073,595,613,chr4,0.01769159795550739,0.9706362153344209
67625,591,568,chr5,0.01684984880204699,1.0404929577464788
60276,560,519,chr6,0.017586178795534185,1.0789980732177264
54316,448,433,chr7,0.015961012373860897,1.0346420323325636
52961,478,473,chr8,0.017639857545629915,1.0105708245243128
39902,213,187,chr9,0.009925065753560617,1.13903743315508
47491,498,440,chr10,0.01936856016023457,1.1318181818181818
46932,394,380,chr11,0.01622437429254182,1.0368421052631578
46306,410,420,chr12,0.017608621860149356,0.9761904761904762
35796,298,276,chr13,0.015782238108331043,1.0797101449275361
32222,294,277,chr14,0.017412252614887325,1.0613718411552346
26528,224,208,chr15,0.016023738872403562,1.0769230769230769
26542,260,267,chr16,0.019468765007942666,0.9737827715355806
21195,103,105,chr17,0.009718263794795122,0.9809523809523809
27635,261,254,chr18,0.018294849023090587,1.0275590551181102
8368,100,106,chr19,0.024026125495684628,0.9433962264150944
23097,188,170,chr20,0.01526327009166489,1.1058823529411765
11140,100,119,chr21,0.019279866185403643,0.8403361344537815
8864,51,75,chr22,0.014015572858731925,0.68
39245,370,268,chrX,0.015996790612541684,1.3805970149253732
2018,31,40,chrY,0.03398755385351843,0.775
